id,title,price,category,stock,rating,brand
1,Essence Mascara Lash Princess,9.99,beauty,99,2.56,Essence
2,Eyeshadow Palette with Mirror,19.99,beauty,34,2.86,Glamour Beauty
3,Powder Canister,14.99,beauty,89,4.64,Velvet Touch
4,Red Lipstick,12.99,beauty,91,4.36,Chic Cosmetics
5,Red Nail Polish,8.99,beauty,79,4.32,Nail Couture
6,Calvin Klein CK One,49.99,fragrances,29,4.37,Calvin Klein
7,Chanel Coco Noir Eau De,129.99,fragrances,58,4.26,Chanel
8,Dior J'adore,89.99,fragrances,98,3.8,Dior
9,Dolce Shine Eau de,69.99,fragrances,4,3.96,Dolce & Gabbana
10,Gucci Bloom Eau de,79.99,fragrances,91,2.74,Gucci
11,Annibale Colombo Bed,1899.99,furniture,88,4.77,Annibale Colombo
12,Annibale Colombo Sofa,2499.99,furniture,60,3.92,Annibale Colombo
13,Bedside Table African Cherry,299.99,furniture,64,2.87,Furniture Co.
14,Knoll Saarinen Executive Conference Chair,499.99,furniture,26,4.88,Knoll
15,Wooden Bathroom Sink With Mirror,799.99,furniture,7,3.59,Bath Trends
16,Apple,1.99,groceries,8,4.19,
17,Beef Steak,12.99,groceries,86,4.47,
18,Cat Food,8.99,groceries,46,3.13,
19,Chicken Meat,9.99,groceries,97,3.19,
20,Cooking Oil,4.99,groceries,10,4.8,
21,Cucumber,1.49,groceries,84,4.07,
22,Dog Food,10.99,groceries,71,4.55,
23,Eggs,2.99,groceries,9,2.53,
24,Fish Steak,14.99,groceries,74,3.78,
25,Green Bell Pepper,1.29,groceries,33,3.25,
26,Green Chili Pepper,0.99,groceries,3,3.66,
27,Honey Jar,6.99,groceries,34,3.97,
28,Ice Cream,5.49,groceries,27,3.39,
29,Juice,3.99,groceries,50,3.94,
30,Kiwi,2.49,groceries,99,4.93,
